# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:49
# SEK
#----------------------------

"727","ENST00000387439.1"
"5.569064e+00","1.968292e+04"
"   10.709627","1.562818e+03"
"0.000000e+00","1.626756e+03"
"2.192829e+01","1.398347e+03"
"3.997680e+00","1.601797e+03"
"0.000000e+00","1.487419e+03"
"0.000000e+00","1.519020e+04"
"0.000000e+00","1.788797e+03"
"0.000000e+00","3.029665e+02"
"0.000000e+00","2.677119e+02"
"    0.000000","5.284824e+01"
"    0.000000","6.165664e+01"
"    2.273931","3.208946e+04"
"    0.000000","1.573020e+02"
"    0.000000","6.125311e+01"
"    0.000000","4.980713e+01"
"0.000000e+00","1.638571e+02"
"0.000000e+00","1.274879e+02"
"    1.09708","1.197002e+02"
"    0.000000","8.131061e+01"
"    2.090192","2.392952e+02"
"    0.000000","1.561923e+02"
"0.000000e+00","3.537781e+01"
"3.193229e+00","9.343470e+03"
"4.744685e+00","9.690647e+01"
"    0.000000","6.909079e+00"
"    0.000000","1.602461e+02"
"    0.000000","2.418947e+01"
"2.900841e+00","8.832539e+01"
"    0.000000","     19.0944"
"1.743626e+00","2.642628e+04"
"0.000000e+00","1.120884e+02"
"    2.362669","1.772206e+01"
"    0.000000","4.390379e+01"
"    0.000000","1.916396e+02"
"    0.000000","1.324472e+02"
"    1.020431","1.759744e+02"
"    0.000000","1.636774e+02"
"0.000000e+00","1.073392e+02"
"    0.000000","1.356684e+02"
"    1.311524","7.024360e+01"
"    0.000000","1.080727e+02"
"    2.471737","1.542624e+02"
"    1.242904","6.469608e+01"
"0.000000e+00","1.117942e+02"
"0.000000e+00","5.697852e+04"
"    0.000000","1.287428e+02"
"0.000000e+00","7.968886e+01"
"    0.000000","3.009161e+02"
"8.339664e-01","1.217600e+02"
"    2.636494","6.368749e+01"
"    0.000000","1.062472e+02"
"    1.020009","4.311824e+04"
"    0.000000","7.029076e+01"
"    0.000000","6.446730e+01"
"    0.000000","1.546526e+02"
"9.809206e-01","1.190768e+02"
"    1.447026","2.005461e+02"
