# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:24:07
# SEK
#----------------------------

"2758","ENST00000387439.1"
"2.013431e+01","1.968292e+04"
"    0.000000","1.562818e+03"
"1.724762e+00","1.626756e+03"
"1.414728e+00","1.398347e+03"
"7.995359e-01","1.601797e+03"
"0.000000e+00","1.487419e+03"
"8.162464e-01","1.519020e+04"
"0.000000e+00","1.788797e+03"
"5.279918e+00","3.029665e+02"
"0.000000e+00","2.677119e+02"
"    0.000000","5.284824e+01"
"    0.000000","6.165664e+01"
"    0.000000","3.208946e+04"
"    1.043915","1.573020e+02"
"    0.000000","6.125311e+01"
"    4.247336","4.980713e+01"
"0.000000e+00","1.638571e+02"
"0.000000e+00","1.274879e+02"
"    0.00000","1.197002e+02"
"    4.197348","8.131061e+01"
"    2.090192","2.392952e+02"
"    0.000000","1.561923e+02"
"0.000000e+00","3.537781e+01"
"0.000000e+00","9.343470e+03"
"0.000000e+00","9.690647e+01"
"    1.317490","6.909079e+00"
"    1.343691","1.602461e+02"
"    3.358653","2.418947e+01"
"9.669471e-01","8.832539e+01"
"    6.718677","     19.0944"
"0.000000e+00","2.642628e+04"
"2.850032e+00","1.120884e+02"
"    0.000000","1.772206e+01"
"   74.767909","4.390379e+01"
"    0.000000","1.916396e+02"
"    0.000000","1.324472e+02"
"    0.000000","1.759744e+02"
"    7.851433","1.636774e+02"
"2.971688e+00","1.073392e+02"
"    0.000000","1.356684e+02"
"    1.311524","7.024360e+01"
"    1.380711","1.080727e+02"
"    2.471737","1.542624e+02"
"    0.000000","6.469608e+01"
"0.000000e+00","1.117942e+02"
"1.847348e+01","5.697852e+04"
"    2.160628","1.287428e+02"
"0.000000e+00","7.968886e+01"
"    5.418496","3.009161e+02"
"3.335866e+00","1.217600e+02"
"    1.318247","6.368749e+01"
"    0.000000","1.062472e+02"
"    0.000000","4.311824e+04"
"    0.000000","7.029076e+01"
"    1.106258","6.446730e+01"
"    3.240488","1.546526e+02"
"1.961841e+00","1.190768e+02"
"    2.170539","2.005461e+02"
