# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:24
# SEK
#----------------------------

"1393","ENST00000361335.1"
"4.283895e-01","3.589039e+06"
"    2.141925","5.674595e+04"
"2.414667e+01","7.900785e+04"
"4.951549e+00","7.872049e+04"
"9.194663e+01","9.056312e+04"
"0.000000e+00","9.432326e+04"
"1.571274e+02","1.688296e+06"
"1.061382e+01","7.402818e+04"
"7.542741e-01","1.702592e+04"
"0.000000e+00","1.428819e+04"
"    0.000000","7.108569e+03"
"    0.000000","5.969390e+03"
"    0.000000","3.213249e+06"
"    9.395238","6.833899e+03"
"    8.976524","8.395388e+03"
"    0.000000","3.916316e+03"
"3.635293e+00","8.908916e+03"
"8.325439e+00","7.994241e+03"
"    0.00000","5.466586e+03"
"    2.098674","6.647759e+03"
"    9.405865","1.028508e+04"
"    0.000000","9.667484e+03"
"9.230309e-01","4.563737e+03"
"4.561756e-01","1.252673e+06"
"3.226386e+01","7.140795e+03"
"    1.317490","2.957086e+03"
"    2.687381","1.054319e+04"
"    3.358653","4.245828e+03"
"1.353726e+01","4.289167e+03"
"   20.156031","   3503.2609"
"0.000000e+00","2.471352e+06"
"1.235014e+01","5.905253e+03"
"    0.000000","4.211406e+03"
"    0.000000","3.724505e+03"
"    0.000000","1.212516e+04"
"    1.174620","5.767633e+03"
"    6.122586","9.612375e+03"
"    0.000000","6.103628e+03"
"0.000000e+00","5.067804e+03"
"    0.000000","6.672498e+03"
"    3.934572","4.164307e+03"
"    0.000000","4.411245e+03"
"    0.000000","8.266699e+03"
"    0.000000","6.148411e+03"
"4.189062e+00","5.340714e+03"
"7.158472e+01","8.945494e+06"
"    5.401569","7.654210e+03"
"3.011615e+00","5.062587e+03"
"    1.083699","1.060996e+04"
"1.250950e+01","6.385990e+03"
"    3.954742","6.452549e+03"
"    0.000000","1.020064e+04"
"    0.000000","3.560381e+06"
"    0.000000","6.275559e+03"
"    0.000000","5.525187e+03"
"    5.400814","1.099160e+04"
"1.177105e+01","8.023546e+03"
"    2.170539","8.215389e+03"
