# Simulated random data filefor batch processing
# timestamp: 2020-04-29 14:23:18
# SEK
#----------------------------

"4666","ENST00000361567.2"
"0.000000e+00","4.489774e+06"
"    0.000000","5.521497e+04"
"0.000000e+00","8.070553e+04"
"9.903098e+00","8.239881e+04"
"1.599072e+00","9.396638e+04"
"0.000000e+00","9.808034e+04"
"0.000000e+00","2.605570e+06"
"0.000000e+00","6.974702e+04"
"7.542741e-01","2.488245e+04"
"0.000000e+00","2.399524e+04"
"    1.218486","1.054851e+04"
"    0.000000","8.285625e+03"
"    0.000000","2.511861e+06"
"    1.043915","1.109853e+04"
"    1.282361","1.513601e+04"
"    0.000000","8.641537e+03"
"3.635293e+00","1.649182e+04"
"0.000000e+00","1.112519e+04"
"    0.00000","7.117623e+03"
"    2.098674","8.935133e+03"
"    1.045096","1.537183e+04"
"    0.000000","1.460079e+04"
"0.000000e+00","1.049763e+04"
"0.000000e+00","1.773380e+06"
"0.000000e+00","1.504473e+04"
"    2.634980","6.852943e+03"
"    2.687381","1.708023e+04"
"    1.679327","1.158561e+04"
"9.669471e-01","6.472887e+03"
"    3.359339","   6590.9378"
"1.046176e+01","2.327315e+06"
"1.900022e+00","9.884754e+03"
"    0.000000","1.133729e+04"
"    0.000000","7.031009e+03"
"    0.000000","3.585677e+04"
"    0.000000","9.378142e+03"
"    0.000000","1.620688e+04"
"    0.000000","9.265959e+03"
"0.000000e+00","1.333889e+04"
"    0.000000","9.078693e+03"
"    0.000000","4.827824e+03"
"    0.000000","6.525710e+03"
"    0.000000","1.149387e+04"
"    0.000000","9.338309e+03"
"0.000000e+00","8.357887e+03"
"4.233505e+01","7.101211e+06"
"    1.080314","9.884754e+03"
"7.529037e-01","6.798749e+03"
"    1.083699","1.595511e+04"
"2.501899e+00","1.050404e+04"
"    0.000000","1.087715e+04"
"    0.000000","1.765884e+04"
"    0.000000","2.977223e+06"
"    0.000000","1.095880e+04"
"    0.000000","8.726837e+03"
"    0.000000","1.729257e+04"
"0.000000e+00","1.265489e+04"
"    0.723513","1.236684e+04"
